"ID","DATE","YEAR","INDICATOR","MEASURE1","MEASURE2","MEASURE1_DESCRIPTION","MEASURE2_DESCRIPTION","VALUE1","UNITS","NOTE","SOURCE"
"1_2019_06_23","2019 Jun 23 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,888,427","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_06_30","2019 Jun 30 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,027,045","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_07_07","2019 Jul 07 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,859,079","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_07_14","2019 Jul 14 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,114,114","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_07_21","2019 Jul 21 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,131,721","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_07_28","2019 Jul 28 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,915,464","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_08_04","2019 Aug 04 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,894,808","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_08_11","2019 Aug 11 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,973,795","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_08_18","2019 Aug 18 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,005,709","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_08_25","2019 Aug 25 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,082,273","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_09_01","2019 Sep 01 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,986,985","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
